id,codigo_municipio,codigo_estado,nombre_municipio
sat_municipio_344,012,GRO,Ayutla de los Libres
sat_municipio_345,012,GUA,Cuerámaro
sat_municipio_346,012,HID,Atotonilco el Grande
sat_municipio_347,012,JAL,Atenguillo
sat_municipio_348,012,MEX,Atizapán
sat_municipio_349,012,MIC,Buenavista
sat_municipio_350,012,MOR,Jojutla
sat_municipio_351,012,NAY,San Blas
sat_municipio_352,012,NLE,Ciénega de Flores
sat_municipio_353,012,OAX,Candelaria Loxicha
sat_municipio_354,012,PUE,Aljojuca
sat_municipio_355,012,QUE,Pedro Escobedo
sat_municipio_356,012,SIN,Mazatlán
sat_municipio_357,012,SLP,Tancanhuitz
sat_municipio_358,012,SON,Bácum
sat_municipio_359,012,TAB,Macuspana
sat_municipio_360,012,TAM,González
sat_municipio_361,012,TLA,Españita
sat_municipio_362,012,VER,Amatitlán
sat_municipio_363,012,YUC,Cenotillo
sat_municipio_364,012,ZAC,Genaro Codina
sat_municipio_365,013,COA,Hidalgo
sat_municipio_366,013,CHH,Casas Grandes
sat_municipio_367,013,CHP,Bochil
sat_municipio_368,013,DIF,Xochimilco
sat_municipio_369,013,DUR,Mapimí
sat_municipio_370,013,GRO,Azoyú
sat_municipio_371,013,GUA,Doctor Mora
sat_municipio_372,013,HID,Atotonilco de Tula
sat_municipio_373,013,JAL,Atotonilco el Alto
sat_municipio_374,013,MEX,Atizapán de Zaragoza
sat_municipio_375,013,MIC,Carácuaro
sat_municipio_376,013,MOR,Jonacatepec
sat_municipio_377,013,NAY,San Pedro Lagunillas
sat_municipio_378,013,NLE,China
sat_municipio_379,013,OAX,Ciénega de Zimatlán
sat_municipio_380,013,PUE,Altepexi
sat_municipio_381,013,QUE,Peñamiller
sat_municipio_382,013,SIN,Mocorito
sat_municipio_383,013,SLP,Ciudad Valles
sat_municipio_384,013,SON,Banámichi
sat_municipio_385,013,TAB,Nacajuca
sat_municipio_386,013,TAM,Güémez
sat_municipio_387,013,TLA,Huamantla
sat_municipio_388,013,VER,Naranjos Amatlán
sat_municipio_389,013,YUC,Conkal
sat_municipio_390,013,ZAC,General Enrique Estrada
sat_municipio_391,014,COA,Jiménez
sat_municipio_392,014,CHH,Coronado
sat_municipio_393,014,CHP,El Bosque
sat_municipio_394,014,DIF,Benito Juárez
sat_municipio_395,014,DUR,Mezquital
sat_municipio_396,014,GRO,Benito Juárez
sat_municipio_397,014,GUA,Dolores Hidalgo Cuna de la Independencia Nacional
sat_municipio_398,014,HID,Calnali
sat_municipio_399,014,JAL,Atoyac
sat_municipio_400,014,MEX,Atlacomulco
sat_municipio_401,014,MIC,Coahuayana
sat_municipio_402,014,MOR,Mazatepec
sat_municipio_403,014,NAY,Santa María del Oro
sat_municipio_404,014,NLE,Doctor Arroyo
sat_municipio_405,014,OAX,Ciudad Ixtepec
sat_municipio_406,014,PUE,Amixtlán
sat_municipio_407,014,QUE,Querétaro
sat_municipio_408,014,SIN,Rosario
sat_municipio_409,014,SLP,Coxcatlán
sat_municipio_410,014,SON,Baviácora
sat_municipio_411,014,TAB,Paraíso
sat_municipio_412,014,TAM,Guerrero
sat_municipio_413,014,TLA,Hueyotlipan
sat_municipio_414,014,VER,Amatlán de los Reyes
sat_municipio_415,014,YUC,Cuncunul
sat_municipio_416,014,ZAC,General Francisco R. Murguía
sat_municipio_417,015,COA,Juárez
sat_municipio_418,015,CHH,Coyame del Sotol
sat_municipio_419,015,CHP,Cacahoatán
sat_municipio_420,015,DIF,Cuauhtémoc
sat_municipio_421,015,DUR,Nazas
sat_municipio_422,015,GRO,Buenavista de Cuéllar
sat_municipio_423,015,GUA,Guanajuato
sat_municipio_424,015,HID,Cardonal
sat_municipio_425,015,JAL,Autlán de Navarro
sat_municipio_426,015,MEX,Atlautla
sat_municipio_427,015,MIC,Coalcomán de Vázquez Pallares
sat_municipio_428,015,MOR,Miacatlán
sat_municipio_429,015,NAY,Santiago Ixcuintla
sat_municipio_430,015,NLE,Doctor Coss
sat_municipio_431,015,OAX,Coatecas Altas
sat_municipio_432,015,PUE,Amozoc
